Date,Price,Open,High,Low,Vol.,Change %
10/22/2020,"14,639","14,771","14,771","14,550",793.50K,-0.90%
10/21/2020,"14,771","14,815","14,815","14,506",2.49M,-0.30%
10/20/2020,"14,815","14,815","15,212","14,462",1.57M,-0.59%
10/19/2020,"14,903","14,771","15,035","14,727",1.99M,1.81%
10/16/2020,"14,639","14,109","14,903","14,109",4.08M,3.43%
10/15/2020,"14,153","13,889","14,153","13,668",1.30M,1.58%
10/14/2020,"13,933","14,065","14,065","13,404",4.72M,-0.94%
10/13/2020,"14,065","14,374","14,418","13,845",4.64M,-2.45%
10/12/2020,"14,418","14,550","14,771","14,330",5.59M,-0.91%
10/9/2020,"14,550","14,550","14,683","14,418",2.61M,0.00%
10/8/2020,"14,550","14,771","14,815","13,095",7.74M,-1.49%
10/7/2020,"14,771","14,550","14,991","14,330",11.83M,-0.59%
10/6/2020,"14,859","13,448","14,903","13,404",9.27M,10.86%
10/5/2020,"13,404","12,875","13,448","12,875",4.68M,3.40%
10/2/2020,"12,963","12,787","13,139","12,522",7.72M,1.38%
10/1/2020,"12,787","12,213","12,787","12,213",4.89M,4.69%
9/30/2020,"12,213","12,169","12,302","11,993",1.92M,0.00%
9/29/2020,"12,213","12,125","12,346","11,993",5.19M,1.47%
9/28/2020,"12,037","11,684","12,037","11,684",3.05M,3.02%
9/25/2020,"11,684","11,288","11,684","11,288",3.01M,2.71%
9/24/2020,"11,376","11,332","11,464","11,243",3.93M,0.00%
9/23/2020,"11,376","11,067","11,508","11,067",6.09M,2.79%
9/22/2020,"11,067","11,111","11,155","10,935",1.47M,0.00%
9/21/2020,"11,067","11,023","11,376","10,979",2.86M,0.40%
9/18/2020,"11,023","10,362","11,023","10,362",5.47M,6.38%
9/17/2020,"10,362","10,362","10,450","10,318",1.62M,0.00%
9/16/2020,"10,362","10,450","10,538","10,273",1.33M,0.00%
9/15/2020,"10,362","9,965","10,494","9,965",4.45M,3.52%
9/14/2020,"10,009","9,921","10,009","9,921",1.34M,0.89%
9/11/2020,"9,921","9,877","9,921","9,833",689.00K,0.45%
9/10/2020,"9,877","9,921","9,965","9,833",1.16M,0.00%
9/9/2020,"9,877","9,744","9,877","9,700",2.00M,-0.44%
9/8/2020,"9,921","9,877","9,965","9,788",1.61M,0.45%
9/7/2020,"9,877","10,009","10,097","9,877",2.62M,-1.32%
9/4/2020,"10,009","10,141","10,141","9,833",2.61M,-0.87%
9/3/2020,"10,097","9,788","10,229","9,788",4.26M,3.62%
9/1/2020,"9,744","9,700","9,788","9,612",1.30M,0.45%
8/31/2020,"9,700","9,965","10,053","9,612",6.30M,-2.65%
8/28/2020,"9,965","10,009","10,009","9,877",3.14M,0.00%
8/27/2020,"9,965","9,788","9,965","9,788",2.41M,1.80%
8/26/2020,"9,788","9,612","10,009","9,612",3.97M,1.84%
8/25/2020,"9,612","9,524","9,744","9,480",9.31M,1.87%
8/24/2020,"9,436","9,303","9,480","9,303",4.53M,0.94%
8/21/2020,"9,347","9,215","9,392","9,215",2.10M,1.43%
8/20/2020,"9,215","9,215","9,392","9,171",3.16M,0.00%
8/19/2020,"9,215","9,215","9,303","9,171",2.11M,0.00%
8/18/2020,"9,215","9,083","9,347","8,995",3.45M,1.46%
8/17/2020,"9,083","9,039","9,127","8,907",1.09M,1.48%
8/14/2020,"8,951","9,171","9,171","8,951",2.92M,-2.40%
8/13/2020,"9,171","9,083","9,303","9,083",3.56M,0.48%
8/12/2020,"9,127","8,907","9,215","8,907",6.60M,2.48%
8/11/2020,"8,907","8,730","8,951","8,686",4.12M,2.54%
8/10/2020,"8,686","8,554","8,818","8,554",2.79M,1.55%
8/7/2020,"8,554","8,818","8,818","8,510",1.59M,-0.51%
8/6/2020,"8,598","8,818","9,700","8,422",3.76M,2.09%
8/5/2020,"8,422","8,377","8,510","8,333",1.75M,0.53%
8/4/2020,"8,377","8,333","8,554","8,289",2.73M,0.53%
8/3/2020,"8,333","7,981","8,333","7,937",3.89M,5.00%
7/31/2020,"7,937","7,716","8,069","7,628",2.17M,1.70%
7/30/2020,"7,804","7,716","7,937","7,716",2.43M,1.14%
7/29/2020,"7,716","8,201","8,201","7,540",3.06M,-5.91%
7/28/2020,"8,201","7,848","8,289","7,804",3.37M,5.09%
7/27/2020,"7,804","8,377","8,377","7,716",7.66M,-8.29%
7/24/2020,"8,510","8,951","8,951","8,333",7.41M,-4.93%
7/23/2020,"8,951","9,039","9,127","8,818",2.89M,-0.98%
7/22/2020,"9,039","8,995","9,171","8,907",4.01M,1.49%
7/21/2020,"8,907","8,686","8,907","8,686",3.54M,2.02%
7/20/2020,"8,730","8,642","8,774","8,598",4.05M,1.02%
7/17/2020,"8,642","8,642","8,642","8,510",2.18M,0.51%
7/16/2020,"8,598","8,377","8,686","8,377",4.49M,2.63%
7/15/2020,"8,377","8,157","8,466","8,113",4.58M,3.26%
7/14/2020,"8,113","8,113","8,157","8,069",831.51K,0.00%
7/13/2020,"8,113","8,157","8,289","8,069",1.38M,-0.54%
7/10/2020,"8,157","8,289","8,289","8,069",2.56M,-1.59%
7/9/2020,"8,289","8,113","8,377","8,113",3.51M,2.17%
7/8/2020,"8,113","7,848","8,245","7,804",4.22M,3.37%
7/7/2020,"7,848","7,848","7,892","7,804",1.59M,0.57%
7/6/2020,"7,804","7,804","7,848","7,716",1.65M,0.00%
7/3/2020,"7,804","7,848","7,848","7,804",999.57K,0.00%
7/2/2020,"7,804","7,804","7,848","7,716",2.99M,0.00%
7/1/2020,"7,804","7,716","7,804","7,672",1.14M,1.72%
6/30/2020,"7,672","7,716","7,804","7,584",1.15M,0.00%
6/29/2020,"7,672","7,760","7,760","7,584",1.58M,-1.14%
6/26/2020,"7,760","7,848","7,848","7,716",1.01M,-1.12%
6/25/2020,"7,848","7,584","7,848","7,584",1.80M,1.14%
6/24/2020,"7,760","7,716","7,848","7,672",1.39M,0.57%
6/23/2020,"7,716","7,716","7,760","7,628",1.13M,0.00%
6/22/2020,"7,716","7,760","7,760","7,672",1.03M,0.00%
6/19/2020,"7,716","7,540","7,760","7,540",860.38K,1.16%
6/18/2020,"7,628","7,540","7,628","7,496",491.34K,1.17%
6/17/2020,"7,540","7,628","7,628","7,496",1.15M,-0.58%
6/16/2020,"7,584","7,496","7,628","7,452",2.07M,1.78%
6/15/2020,"7,452","7,628","7,672","7,363",2.03M,-2.31%
6/12/2020,"7,628","7,275","7,716","7,275",3.14M,1.77%
6/11/2020,"7,496","7,804","7,937","7,407",5.56M,-4.49%
6/10/2020,"7,848","7,892","7,892","7,716",2.33M,-1.11%
6/9/2020,"7,937","7,848","7,937","7,760",4.40M,0.56%
6/8/2020,"7,892","7,760","7,937","7,716",2.65M,1.70%
6/5/2020,"7,760","7,804","7,848","7,672",3.89M,-0.57%
6/4/2020,"7,804","7,760","7,937","7,760",3.05M,0.00%
6/3/2020,"7,804","7,496","7,804","7,496",5.11M,4.12%
6/2/2020,"7,496","7,452","7,584","7,363",2.25M,0.59%
6/1/2020,"7,452","7,187","7,540","7,187",4.75M,3.68%
5/29/2020,"7,187","7,143","7,231","7,099",1.49M,0.62%
5/28/2020,"7,143","7,143","7,187","7,055",2.07M,0.00%
5/27/2020,"7,143","7,231","7,319","7,099",4.67M,-1.22%
5/26/2020,"7,231","7,055","7,275","7,011",2.15M,2.50%
5/25/2020,"7,055","6,967","7,143","6,790",3.51M,2.56%
5/22/2020,"6,878","6,790","7,055","6,746",3.74M,1.30%
5/21/2020,"6,790","6,702","6,834","6,658",2.01M,1.99%
5/20/2020,"6,658","6,746","6,746","6,658",1.78M,-1.31%
5/19/2020,"6,746","6,702","6,834","6,702",2.46M,1.32%
5/18/2020,"6,658","6,614","6,658","6,570",1.14M,0.67%
5/15/2020,"6,614","6,702","6,746","6,570",1.30M,-1.31%
5/14/2020,"6,702","6,746","6,746","6,658",1.87M,-0.65%
5/13/2020,"6,746","6,702","6,834","6,658",1.40M,-0.65%
5/12/2020,"6,790","6,746","6,790","6,614",2.22M,0.65%
5/11/2020,"6,746","6,526","6,746","6,482",2.92M,3.38%
5/8/2020,"6,526","6,393","6,658","6,393",2.64M,2.07%
5/7/2020,"6,393","6,305","6,437","6,305",770.73K,0.69%
5/6/2020,"6,349","6,305","6,437","6,305",1.20M,0.70%
5/5/2020,"6,305","6,305","6,349","6,261",470.23K,0.00%
5/4/2020,"6,305","6,393","6,393","6,305",795.78K,-1.38%
4/29/2020,"6,393","6,393","6,437","6,349",949.91K,0.00%
4/28/2020,"6,393","6,349","6,393","6,261",875.36K,0.69%
4/27/2020,"6,349","6,349","6,437","6,261",1.06M,0.00%
4/24/2020,"6,349","6,393","6,437","6,349",823.67K,-0.69%
4/23/2020,"6,393","6,393","6,570","6,393",801.85K,0.00%
4/22/2020,"6,393","6,261","6,482","6,129",2.11M,0.69%
4/21/2020,"6,349","6,614","6,702","6,261",2.71M,-2.70%
4/20/2020,"6,526","6,570","6,746","6,482",2.98M,0.68%
4/17/2020,"6,482","6,482","6,658","6,482",2.82M,0.00%
4/16/2020,"6,482","6,482","6,526","6,349",1.11M,-25.42%
4/15/2020,"8,691","8,512","8,929","8,512",3.49M,2.82%
4/14/2020,"8,452","8,512","8,631","8,393",967.75K,0.00%
4/13/2020,"8,452","8,452","8,631","8,333",926.24K,0.00%
4/10/2020,"8,452","8,571","8,571","8,393",1.03M,-1.39%
4/9/2020,"8,571","8,452","8,571","8,393",1.80M,2.13%
4/8/2020,"8,393","8,512","8,512","8,274",995.92K,-1.40%
4/7/2020,"8,512","8,571","8,750","8,333",1.09M,0.00%
4/6/2020,"8,512","8,036","8,571","8,036",1.72M,5.93%
4/3/2020,"8,036","7,857","8,095","7,798",1.34M,2.27%
4/1/2020,"7,857","7,679","7,917","7,619",495.21K,3.13%
3/31/2020,"7,619","7,679","7,917","7,441",1.56M,0.79%
3/30/2020,"7,560","7,738","8,095","7,381",1.51M,-7.30%
3/27/2020,"8,155","8,095","8,393","8,095",521.89K,-0.72%
3/26/2020,"8,214","8,452","8,691","8,155",1.09M,-4.83%
3/25/2020,"8,631","8,214","8,691","8,155",2.00M,6.62%
3/24/2020,"8,095","7,917","8,095","7,798",1.36M,3.82%
3/23/2020,"7,798","8,691","8,750","7,679",3.34M,-10.88%
3/20/2020,"8,750","8,750","8,869","8,691",544.91K,0.00%
3/19/2020,"8,750","8,929","8,988","8,631",1.28M,-2.00%
3/18/2020,"8,929","8,869","9,107","8,869",1.02M,0.00%
3/17/2020,"8,929","8,929","9,048","8,571",2.30M,-0.66%
3/16/2020,"8,988","9,226","9,286","8,869",1.77M,-1.95%
3/13/2020,"9,167","8,929","9,464","8,571",4.60M,-1.91%
3/12/2020,"9,345","9,583","9,702","9,048",3.98M,-5.42%
3/11/2020,"9,881","10,238","10,238","9,464",3.86M,-2.92%
3/10/2020,"10,179","9,524","10,238","9,464",3.63M,6.21%
3/9/2020,"9,583","10,655","10,655","9,107",9.91M,-11.54%
3/6/2020,"10,833","10,952","10,952","10,655",1.48M,0.00%
3/5/2020,"10,833","10,952","11,131","10,774",2.40M,-1.09%
3/4/2020,"10,952","10,893","10,952","10,833",1.21M,0.55%
3/3/2020,"10,893","10,893","11,131","10,893",2.95M,0.00%
3/2/2020,"10,893","10,714","10,952","10,595",2.15M,1.11%
2/28/2020,"10,774","10,833","10,893","10,655",3.21M,-1.63%
2/27/2020,"10,952","10,595","11,012","10,536",2.28M,3.37%
2/26/2020,"10,595","10,595","10,714","10,298",2.91M,-1.11%
2/25/2020,"10,714","10,476","10,833","10,357",2.96M,0.56%
2/24/2020,"10,655","11,191","11,191","10,536",3.85M,-4.79%
2/21/2020,"11,191","10,833","11,429","10,833",8.03M,2.73%
2/20/2020,"10,893","10,774","10,952","10,714",1.00M,1.11%
2/19/2020,"10,774","10,714","10,774","10,655",1.67M,1.12%
2/18/2020,"10,655","10,893","10,952","10,655",2.55M,-2.19%
2/17/2020,"10,893","11,012","11,071","10,833",1.64M,-0.54%
2/14/2020,"10,952","10,774","11,131","10,714",3.30M,1.10%
2/13/2020,"10,833","10,417","11,012","10,357",6.24M,4.00%
2/12/2020,"10,417","10,238","10,536","10,238",1.10M,1.16%
2/11/2020,"10,298","10,238","10,298","10,179",825.85K,1.76%
2/10/2020,"10,119","10,417","10,417","10,119",1.25M,-2.86%
2/7/2020,"10,417","10,476","10,476","10,357",605.23K,-1.13%
2/6/2020,"10,536","10,357","10,536","10,238",1.28M,2.31%
2/5/2020,"10,298","10,238","10,417","10,238",1.25M,0.58%
2/4/2020,"10,238","10,179","10,238","10,000",1.20M,0.58%
2/3/2020,"10,179","10,000","10,179","9,821",2.18M,0.00%
1/31/2020,"10,179","10,298","10,298","10,119",1.66M,-1.16%
1/30/2020,"10,298","10,536","10,536","10,238",1.42M,-2.81%
1/22/2020,"10,595","10,595","10,655","10,476",981.71K,0.00%
1/21/2020,"10,595","10,476","10,655","10,476",1.86M,1.71%
1/20/2020,"10,417","10,357","10,595","10,298",2.11M,0.58%
1/17/2020,"10,357","10,417","10,595","10,298",1.35M,-0.57%
1/16/2020,"10,417","10,298","10,536","10,298",1.16M,1.16%
1/15/2020,"10,298","10,417","10,417","10,298",637.03K,-1.14%
1/14/2020,"10,417","10,238","10,417","10,238",603.35K,1.16%
1/13/2020,"10,298","10,179","10,357","10,119",886.91K,1.76%
1/10/2020,"10,119","10,179","10,238","10,060",1.21M,0.00%
1/9/2020,"10,119","10,060","10,298","10,060",939.71K,0.59%
1/8/2020,"10,060","10,238","10,238","10,060",867.01K,-1.74%
1/7/2020,"10,238","10,238","10,357","10,238",192.97K,0.00%
1/6/2020,"10,238","10,417","10,417","10,238",604.45K,-1.71%
1/3/2020,"10,417","10,476","10,536","10,357",656.93K,-0.57%
1/2/2020,"10,476","10,357","10,536","10,357",623.95K,1.73%
12/31/2019,"10,298","10,476","10,476","10,298",332.80K,-1.14%
12/30/2019,"10,417","10,417","10,536","10,417",541.45K,-0.57%
12/27/2019,"10,476","10,417","10,595","10,417",584.70K,-0.56%
