Date,Price,Open,High,Low,Vol.,Change %
12/30/2022,"12,000.00","11,867.00","12,000.00","11,667.00",3.41M,0.28%
12/29/2022,"11,967.00","11,667.00","11,967.00","11,500.00",2.41M,0.84%
12/28/2022,"11,867.00","11,133.00","11,867.00","10,933.00",3.50M,5.96%
12/27/2022,"11,200.00","10,533.00","11,200.00","10,467.00",3.02M,5.66%
12/26/2022,"10,600.00","10,633.00","10,733.00","10,333.00",1.53M,-1.85%
12/23/2022,"10,800.00","10,567.00","10,800.00","10,300.00",1.66M,1.89%
12/22/2022,"10,600.00","10,300.00","10,600.00","10,133.00",1.86M,2.91%
12/21/2022,"10,300.00","10,433.00","10,467.00","10,067.00",819.70K,-1.60%
12/20/2022,"10,467.00","10,433.00","10,467.00","9,900.00",1.93M,0.33%
12/19/2022,"10,433.00","10,600.00","10,633.00","10,433.00",764.50K,-0.64%
12/16/2022,"10,500.00","10,433.00","10,633.00","10,400.00",704.80K,0.00%
12/15/2022,"10,500.00","10,500.00","10,667.00","10,467.00",538.80K,-0.94%
12/14/2022,"10,600.00","10,800.00","10,833.00","10,600.00",493.30K,-1.85%
12/13/2022,"10,800.00","10,767.00","10,800.00","10,533.00",1.58M,0.62%
12/12/2022,"10,733.00","10,667.00","10,867.00","10,467.00",1.13M,-0.62%
12/9/2022,"10,800.00","10,800.00","10,800.00","10,533.00",1.25M,-0.62%
12/8/2022,"10,867.00","10,533.00","10,867.00","10,333.00",2.05M,2.84%
12/7/2022,"10,567.00","10,533.00","10,567.00","10,300.00",2.11M,-0.62%
12/6/2022,"10,633.00","10,733.00","10,733.00","10,367.00",2.58M,-0.32%
12/5/2022,"10,667.00","10,600.00","10,867.00","10,500.00",2.20M,1.59%
12/2/2022,"10,500.00","10,067.00","10,500.00","10,067.00",1.40M,2.27%
12/1/2022,"10,267.00","10,233.00","10,500.00","10,167.00",2.38M,0.66%
11/30/2022,"10,200.00","10,100.00","10,200.00","10,033.00",1.85M,0.99%
11/29/2022,"10,100.00","10,067.00","10,200.00","9,633.00",2.89M,-0.98%
11/28/2022,"10,200.00","10,300.00","10,300.00","10,033.00",2.41M,0.99%
11/25/2022,"10,100.00","10,100.00","10,133.00","10,000.00",1.34M,1.00%
11/24/2022,"10,000.00","9,733.00","10,000.00","9,733.00",1.95M,1.35%
11/23/2022,"9,867.00","9,533.00","10,000.00","9,533.00",2.11M,1.72%
11/22/2022,"9,700.00","9,567.00","9,967.00","9,467.00",2.44M,1.39%
11/21/2022,"9,567.00","9,667.00","9,667.00","9,400.00",1.45M,0.00%
11/18/2022,"9,567.00","9,633.00","9,667.00","9,400.00",2.24M,-1.03%
11/17/2022,"9,667.00","9,200.00","9,667.00","9,200.00",2.80M,5.08%
11/16/2022,"9,200.00","8,667.00","9,200.00","8,533.00",5.28M,5.35%
11/15/2022,"8,733.00","8,667.00","8,733.00","8,500.00",5.09M,0.00%
11/14/2022,"8,733.00","8,733.00","8,967.00","8,567.00",1.76M,-1.51%
11/11/2022,"8,867.00","8,767.00","9,100.00","8,733.00",2.29M,2.31%
11/10/2022,"8,667.00","9,000.00","9,067.00","8,533.00",2.75M,-4.05%
11/9/2022,"9,033.00","8,933.00","9,167.00","8,933.00",903.00K,0.37%
11/8/2022,"9,000.00","8,867.00","9,133.00","8,867.00",2.14M,0.75%
11/7/2022,"8,933.00","9,200.00","9,233.00","8,833.00",1.79M,-3.25%
11/4/2022,"9,233.00","9,200.00","9,367.00","8,800.00",5.79M,0.36%
11/3/2022,"9,200.00","9,333.00","9,667.00","9,200.00",2.63M,-3.16%
11/2/2022,"9,500.00","9,267.00","9,700.00","9,267.00",1.94M,1.06%
11/1/2022,"9,400.00","8,867.00","9,400.00","8,833.00",3.79M,6.82%
10/31/2022,"8,800.00","8,800.00","9,000.00","8,667.00",1.13M,0.00%
10/28/2022,"8,800.00","8,933.00","9,033.00","8,800.00",1.03M,-1.86%
10/27/2022,"8,967.00","8,600.00","9,000.00","8,567.00",1.42M,4.27%
10/26/2022,"8,600.00","8,667.00","8,833.00","8,600.00",495.30K,-2.64%
10/25/2022,"8,833.00","8,667.00","9,000.00","8,267.00",1.98M,0.38%
10/24/2022,"8,800.00","8,733.00","8,900.00","8,500.00",1.33M,-1.49%
10/21/2022,"8,933.00","9,000.00","9,000.00","8,467.00",1.62M,-1.11%
10/20/2022,"9,033.00","9,000.00","9,067.00","8,867.00",909.10K,0.37%
10/19/2022,"9,000.00","8,867.00","9,033.00","8,867.00",1.07M,0.00%
10/18/2022,"9,000.00","9,033.00","9,067.00","8,900.00",1.33M,0.75%
10/17/2022,"8,933.00","8,867.00","8,933.00","8,633.00",1.63M,0.74%
10/14/2022,"8,867.00","8,733.00","8,867.00","8,600.00",2.00M,3.10%
10/13/2022,"8,600.00","8,533.00","8,600.00","8,300.00",1.44M,0.79%
