Date,Price,Open,High,Low,Vol.,Change %
3/2/2022,"31,250.00","32,500.00","32,550.00","31,100.00",45.28M,-4.29%
3/1/2022,"32,650.00","33,000.00","33,000.00","32,650.00",16.92M,-0.61%
2/28/2022,"32,850.00","33,000.00","33,350.00","32,800.00",16.46M,-0.45%
2/25/2022,"33,000.00","33,100.00","33,550.00","32,900.00",17.79M,0.30%
2/24/2022,"32,900.00","33,400.00","33,700.00","32,000.00",30.48M,-2.08%
2/23/2022,"33,600.00","33,900.00","33,950.00","33,600.00",13.87M,-0.30%
2/22/2022,"33,700.00","32,900.00","33,700.00","32,800.00",24.42M,1.51%
2/21/2022,"33,200.00","33,350.00","33,550.00","32,800.00",21.15M,-0.45%
2/18/2022,"33,350.00","33,600.00","33,800.00","33,200.00",18.49M,-1.62%
2/17/2022,"33,900.00","33,600.00","34,250.00","33,450.00",15.74M,0.89%
2/16/2022,"33,600.00","33,750.00","34,100.00","33,100.00",20.06M,0.30%
2/15/2022,"33,500.00","33,100.00","33,900.00","32,700.00",31.17M,1.98%
2/14/2022,"32,850.00","34,850.00","35,000.00","32,850.00",37.42M,-6.94%
2/11/2022,"35,300.00","34,750.00","35,350.00","34,450.00",18.45M,1.58%
2/10/2022,"34,750.00","35,000.00","35,250.00","34,200.00",33.96M,-0.86%
2/9/2022,"35,050.00","36,000.00","36,700.00","35,000.00",32.93M,-2.23%
2/8/2022,"35,850.00","35,350.00","36,200.00","35,350.00",18.82M,0.70%
2/7/2022,"35,600.00","36,000.00","36,300.00","35,450.00",18.65M,0.14%
1/28/2022,"35,550.00","35,200.00","36,200.00","35,200.00",22.21M,0.42%
1/27/2022,"35,400.00","35,300.00","35,950.00","34,750.00",23.70M,-0.42%
1/26/2022,"35,550.00","35,000.00","36,500.00","34,800.00",48.91M,2.45%
1/25/2022,"34,700.00","33,100.00","34,800.00","33,000.00",24.09M,4.20%
1/24/2022,"33,300.00","34,400.00","34,950.00","33,000.00",30.19M,-3.76%
1/21/2022,"34,600.00","33,600.00","35,250.00","33,350.00",39.14M,2.37%
1/20/2022,"33,800.00","32,600.00","33,900.00","31,800.00",30.98M,2.74%
1/19/2022,"32,900.00","34,300.00","34,400.00","32,700.00",20.80M,-2.95%
1/18/2022,"33,900.00","32,600.00","34,500.00","32,550.00",39.68M,3.99%
1/17/2022,"32,600.00","35,500.00","35,600.00","32,600.00",44.37M,-6.86%
1/14/2022,"35,000.00","33,800.00","35,450.00","33,750.00",26.70M,2.04%
1/13/2022,"34,300.00","35,400.00","36,200.00","34,300.00",43.95M,-1.15%
1/12/2022,"34,700.00","32,500.00","34,700.00","31,650.00",62.42M,6.93%
1/11/2022,"32,450.00","31,800.00","33,300.00","31,700.00",29.60M,2.69%
1/10/2022,"31,600.00","31,950.00","32,950.00","31,150.00",28.38M,-1.10%
1/7/2022,"31,950.00","32,700.00","32,950.00","31,950.00",28.17M,-2.29%
1/6/2022,"32,700.00","32,500.00","33,900.00","32,400.00",38.54M,0.46%
1/5/2022,"32,550.00","31,900.00","32,800.00","31,700.00",36.94M,1.40%
1/4/2022,"32,100.00","32,000.00","32,850.00","31,700.00",32.86M,1.90%
12/31/2021,"31,500.00","30,700.00","32,300.00","30,500.00",35.41M,3.28%
12/30/2021,"30,500.00","29,600.00","31,050.00","29,600.00",26.16M,3.39%
12/29/2021,"29,500.00","30,500.00","30,800.00","29,500.00",16.20M,-1.83%
12/28/2021,"30,050.00","28,250.00","30,050.00","28,050.00",45.05M,6.94%
12/27/2021,"28,100.00","28,450.00","28,450.00","27,850.00",7.41M,-0.35%
12/24/2021,"28,200.00","27,400.00","28,250.00","27,400.00",10.41M,2.92%
12/23/2021,"27,400.00","27,600.00","27,800.00","26,900.00",14.27M,-0.90%
12/22/2021,"27,650.00","28,450.00","28,600.00","27,200.00",12.05M,-1.95%
12/21/2021,"28,200.00","28,650.00","28,800.00","28,200.00",9.48M,-1.57%
12/20/2021,"28,650.00","28,250.00","28,700.00","28,150.00",13.06M,1.24%
12/17/2021,"28,300.00","28,650.00","28,700.00","28,000.00",9.27M,-1.05%
12/16/2021,"28,600.00","28,700.00","28,700.00","28,000.00",11.08M,0.88%
12/15/2021,"28,350.00","28,100.00","28,900.00","27,700.00",15.19M,0.89%
