Date,Price,Open,High,Low,Vol.,Change %
10/27/2022,"30,083.00","28,219.00","30,083.00","28,219.00",2.29M,6.94%
10/26/2022,"28,130.00","27,953.00","28,840.00","27,775.00",770.80K,1.28%
10/25/2022,"27,775.00","26,622.00","28,796.00","26,001.00",1.65M,3.13%
10/24/2022,"26,932.00","29,240.00","29,240.00","26,932.00",1.55M,-6.90%
10/21/2022,"28,929.00","29,417.00","29,417.00","28,485.00",1.87M,-1.66%
10/20/2022,"29,417.00","28,929.00","30,171.00","28,840.00",1.66M,0.45%
10/19/2022,"29,284.00","29,106.00","29,728.00","28,751.00",848.89K,0.61%
10/18/2022,"29,106.00","29,284.00","29,683.00","29,018.00",994.38K,0.30%
10/17/2022,"29,018.00","29,240.00","29,240.00","28,130.00",1.23M,-0.91%
10/14/2022,"29,284.00","29,284.00","29,461.00","28,929.00",1.94M,1.69%
10/13/2022,"28,796.00","27,110.00","28,796.00","27,021.00",1.59M,6.57%
10/12/2022,"27,021.00","25,734.00","27,021.00","25,468.00",1.66M,6.84%
10/11/2022,"25,291.00","26,622.00","26,622.00","25,291.00",1.02M,-5.00%
10/10/2022,"26,622.00","24,980.00","27,021.00","24,847.00",1.13M,2.74%
10/7/2022,"25,912.00","27,065.00","27,154.00","25,646.00",1.93M,-5.81%
10/6/2022,"27,509.00","28,352.00","28,352.00","27,509.00",1.03M,-2.52%
10/5/2022,"28,219.00","28,219.00","28,396.00","27,775.00",581.59K,2.58%
10/4/2022,"27,509.00","28,396.00","28,441.00","27,420.00",1.35M,-1.74%
10/3/2022,"27,997.00","29,373.00","29,816.00","27,997.00",1.77M,-6.93%
9/30/2022,"30,083.00","29,106.00","30,083.00","28,663.00",2.05M,1.19%
9/29/2022,"29,728.00","30,171.00","30,260.00","29,683.00",1.13M,0.00%
9/28/2022,"29,728.00","29,905.00","30,083.00","29,594.00",876.62K,-0.59%
9/27/2022,"29,905.00","29,728.00","30,216.00","29,284.00",684.37K,0.90%
9/26/2022,"29,639.00","30,260.00","30,393.00","28,751.00",2.27M,-3.88%
9/23/2022,"30,837.00","31,591.00","31,591.00","30,615.00",885.07K,-1.14%
9/22/2022,"31,192.00","30,659.00","31,325.00","30,571.00",1.10M,1.15%
9/21/2022,"30,837.00","30,881.00","31,147.00","30,837.00",558.27K,-1.14%
9/20/2022,"31,192.00","30,437.00","31,280.00","30,437.00",1.26M,2.78%
9/19/2022,"30,349.00","31,458.00","31,458.00","30,260.00",1.44M,-3.66%
9/16/2022,"31,502.00","31,946.00","32,124.00","31,502.00",1.10M,-0.70%
9/15/2022,"31,724.00","32,390.00","32,656.00","31,635.00",2.19M,-2.06%
9/14/2022,"32,390.00","31,946.00","32,390.00","31,902.00",1.05M,-0.81%
9/13/2022,"32,656.00","32,745.00","33,055.00","32,523.00",946.82K,-0.27%
9/12/2022,"32,745.00","32,833.00","33,277.00","32,656.00",1.06M,-0.27%
9/9/2022,"32,833.00","32,567.00","32,922.00","32,079.00",1.25M,0.82%
9/8/2022,"32,567.00","33,632.00","34,031.00","32,478.00",2.47M,-2.91%
9/7/2022,"33,543.00","35,407.00","35,407.00","33,543.00",3.39M,-5.62%
9/6/2022,"35,540.00","35,052.00","35,984.00","35,008.00",2.01M,1.39%
9/5/2022,"35,052.00","35,496.00","35,540.00","34,830.00",905.80K,-1.25%
8/31/2022,"35,496.00","35,318.00","35,673.00","35,141.00",1.83M,0.50%
8/30/2022,"35,318.00","34,653.00","35,895.00","34,608.00",2.63M,2.05%
8/29/2022,"34,608.00","34,253.00","34,874.00","33,854.00",1.52M,-1.02%
8/26/2022,"34,963.00","34,874.00","35,629.00","34,874.00",2.26M,0.26%
8/25/2022,"34,874.00","34,608.00","35,052.00","34,564.00",1.43M,0.00%
8/24/2022,"34,874.00","35,229.00","35,318.00","34,564.00",1.09M,-0.51%
8/23/2022,"35,052.00","34,031.00","35,052.00","33,898.00",1.95M,2.73%
8/22/2022,"34,120.00","34,919.00","34,919.00","34,031.00",1.99M,-2.29%
8/19/2022,"34,919.00","35,096.00","35,496.00","34,786.00",1.64M,-0.63%
8/18/2022,"35,141.00","35,229.00","35,584.00","35,141.00",1.67M,-1.00%
8/17/2022,"35,496.00","35,939.00","36,028.00","35,496.00",1.57M,-1.23%
8/16/2022,"35,939.00","36,339.00","36,472.00","35,939.00",1.11M,-1.22%
8/15/2022,"36,383.00","34,874.00","36,516.00","34,874.00",4.25M,4.59%
8/12/2022,"34,786.00","33,987.00","34,786.00","33,854.00",1.85M,2.35%
8/11/2022,"33,987.00","34,608.00","34,874.00","33,898.00",1.96M,-0.26%
8/10/2022,"34,076.00","34,165.00","34,431.00","34,076.00",1.11M,-0.65%
8/9/2022,"34,298.00","34,431.00","34,786.00","34,253.00",1.77M,-0.39%
8/8/2022,"34,431.00","34,608.00","34,830.00","34,342.00",1.11M,-0.51%
8/5/2022,"34,608.00","34,786.00","34,786.00","34,165.00",1.16M,-0.76%
8/4/2022,"34,874.00","34,874.00","35,185.00","34,165.00",2.73M,0.00%
8/3/2022,"34,874.00","33,676.00","34,874.00","33,632.00",2.42M,2.08%
8/2/2022,"34,165.00","34,253.00","34,608.00","33,898.00",2.20M,-1.28%
8/1/2022,"34,608.00","33,188.00","34,608.00","33,100.00",3.79M,4.56%
7/29/2022,"33,100.00","32,567.00","33,632.00","32,523.00",4.70M,2.19%
7/28/2022,"32,390.00","31,946.00","32,700.00","31,680.00",2.31M,2.67%
7/27/2022,"31,547.00","31,547.00","31,635.00","31,059.00",817.23K,0.00%
7/26/2022,"31,547.00","31,769.00","31,946.00","31,502.00",998.21K,0.42%
7/25/2022,"31,414.00","31,502.00","31,857.00","30,881.00",1.35M,-0.28%
7/22/2022,"31,502.00","32,745.00","32,745.00","31,502.00",1.41M,-2.74%
7/21/2022,"32,390.00","32,124.00","32,700.00","32,124.00",1.71M,0.28%
7/20/2022,"32,301.00","32,124.00","32,745.00","31,902.00",1.79M,2.11%
7/19/2022,"31,635.00","31,502.00","31,813.00","31,059.00",1.10M,0.42%
7/18/2022,"31,502.00","31,946.00","31,946.00","31,414.00",1.91M,-0.84%
7/15/2022,"31,769.00","32,035.00","32,612.00","31,769.00",1.56M,-0.97%
7/14/2022,"32,079.00","31,769.00","32,745.00","31,724.00",1.70M,0.28%
7/13/2022,"31,990.00","32,124.00","33,011.00","31,769.00",2.99M,-0.96%
7/12/2022,"32,301.00","30,482.00","32,390.00","30,349.00",1.88M,5.51%
7/11/2022,"30,615.00","30,970.00","31,192.00","29,284.00",2.32M,-1.43%
7/8/2022,"31,059.00","32,301.00","32,345.00","31,059.00",2.23M,-3.58%
7/7/2022,"32,212.00","31,414.00","32,523.00","30,437.00",3.18M,1.97%
7/6/2022,"31,591.00","31,769.00","32,745.00","31,502.00",3.08M,-1.93%
7/5/2022,"32,212.00","31,103.00","33,277.00","31,059.00",5.56M,3.57%
7/4/2022,"31,103.00","31,502.00","31,724.00","30,970.00",2.06M,0.00%
7/1/2022,"31,103.00","29,195.00","31,680.00","28,485.00",3.97M,4.63%
6/30/2022,"29,728.00","31,059.00","31,059.00","29,728.00",1.69M,-4.01%
6/29/2022,"30,970.00","29,284.00","30,970.00","29,284.00",2.64M,3.71%
6/28/2022,"29,861.00","28,042.00","30,127.00","28,042.00",2.72M,5.98%
6/27/2022,"28,175.00","27,775.00","28,219.00","27,642.00",931.16K,1.76%
6/24/2022,"27,687.00","27,687.00","28,618.00","27,598.00",1.50M,0.65%
6/23/2022,"27,509.00","27,065.00","27,509.00","26,666.00",475.89K,1.64%
6/22/2022,"27,065.00","26,888.00","28,042.00","26,444.00",1.73M,0.66%
6/21/2022,"26,888.00","25,823.00","27,199.00","25,690.00",1.58M,2.71%
6/20/2022,"26,178.00","28,130.00","28,219.00","26,178.00",1.10M,-6.65%
6/17/2022,"28,042.00","28,352.00","28,352.00","27,687.00",1.37M,-2.17%
6/16/2022,"28,663.00","28,396.00","29,106.00","28,396.00",1.46M,0.94%
6/15/2022,"28,396.00","28,396.00","28,840.00","27,509.00",1.54M,-0.93%
6/14/2022,"28,663.00","28,308.00","29,106.00","27,598.00",1.33M,1.10%
6/13/2022,"28,352.00","29,328.00","29,594.00","28,352.00",1.63M,-5.47%
6/10/2022,"29,994.00","30,216.00","30,437.00","29,994.00",885.74K,-2.03%
6/9/2022,"30,615.00","30,482.00","30,837.00","30,260.00",444.45K,0.58%
6/8/2022,"30,437.00","29,905.00","30,881.00","29,861.00",1.11M,2.08%
6/7/2022,"29,816.00","30,260.00","30,349.00","29,373.00",1.32M,-1.76%
6/6/2022,"30,349.00","30,482.00","30,748.00","29,994.00",1.04M,-0.44%
6/3/2022,"30,482.00","30,792.00","30,837.00","30,171.00",643.12K,-1.01%
6/2/2022,"30,792.00","31,192.00","31,236.00","30,615.00",1.02M,-1.28%
6/1/2022,"31,192.00","31,147.00","31,547.00","31,014.00",1.21M,-0.42%
5/31/2022,"31,325.00","31,502.00","31,591.00","31,059.00",1.16M,-1.26%
5/30/2022,"31,724.00","31,502.00","31,813.00","31,236.00",1.23M,1.27%
5/27/2022,"31,325.00","31,147.00","31,414.00","30,970.00",1.00M,0.57%
5/26/2022,"31,147.00","31,591.00","31,724.00","31,059.00",1.35M,0.57%
5/25/2022,"30,970.00","30,171.00","31,147.00","30,171.00",1.20M,3.41%
5/24/2022,"29,949.00","29,905.00","30,038.00","29,373.00",865.46K,1.20%
5/23/2022,"29,594.00","30,526.00","30,792.00","29,284.00",1.13M,-3.33%
5/20/2022,"30,615.00","30,526.00","30,970.00","30,437.00",1.27M,-0.43%
5/19/2022,"30,748.00","30,171.00","31,059.00","30,083.00",1.01M,-0.72%
5/18/2022,"30,970.00","30,970.00","31,502.00","30,349.00",1.45M,1.31%
5/17/2022,"30,571.00","28,840.00","30,571.00","28,441.00",1.26M,6.99%
5/16/2022,"28,574.00","29,461.00","29,506.00","28,574.00",1.44M,1.26%
5/13/2022,"28,219.00","29,994.00","30,171.00","28,219.00",2.65M,-5.36%
5/12/2022,"29,816.00","31,414.00","31,769.00","29,816.00",1.70M,-6.93%
5/11/2022,"32,035.00","31,724.00","32,035.00","31,103.00",972.40K,0.84%
5/10/2022,"31,769.00","30,260.00","31,857.00","29,728.00",1.95M,3.92%
5/9/2022,"30,571.00","32,478.00","32,745.00","30,571.00",2.72M,-6.89%
5/6/2022,"32,833.00","33,144.00","33,588.00","32,833.00",1.78M,-3.14%
5/5/2022,"33,898.00","33,366.00","33,898.00","32,833.00",2.24M,2.55%
5/4/2022,"33,055.00","33,055.00","33,455.00","32,789.00",1.76M,0.00%
4/29/2022,"33,055.00","32,700.00","33,499.00","32,656.00",1.71M,-9.93%
4/28/2022,"36,700.00","37,200.00","37,200.00","36,700.00",974.90K,-1.34%
4/27/2022,"37,200.00","37,000.00","37,500.00","36,450.00",748.10K,0.81%
4/26/2022,"36,900.00","35,150.00","37,250.00","35,150.00",1.86M,2.93%
4/25/2022,"35,850.00","38,500.00","38,600.00","35,850.00",2.95M,-6.88%
4/22/2022,"38,500.00","38,600.00","39,100.00","38,000.00",2.63M,0.00%
4/21/2022,"38,500.00","37,900.00","38,750.00","37,650.00",2.09M,1.45%
4/20/2022,"37,950.00","37,950.00","38,800.00","37,850.00",1.46M,0.00%
4/19/2022,"37,950.00","38,350.00","39,200.00","37,500.00",2.32M,0.00%
4/18/2022,"37,950.00","39,550.00","39,700.00","37,800.00",2.82M,-3.44%
4/15/2022,"39,300.00","40,600.00","41,200.00","39,000.00",2.51M,-2.96%
4/14/2022,"40,500.00","41,400.00","41,400.00","40,500.00",1.89M,-0.98%
4/13/2022,"40,900.00","40,500.00","41,400.00","40,100.00",2.00M,1.11%
4/12/2022,"40,450.00","42,300.00","42,300.00","40,450.00",3.19M,-3.46%
4/8/2022,"41,900.00","43,000.00","43,200.00","41,800.00",3.15M,-2.67%
4/7/2022,"43,050.00","43,500.00","44,350.00","43,050.00",3.15M,-1.03%
4/6/2022,"43,500.00","43,000.00","43,800.00","42,650.00",3.24M,0.46%
4/5/2022,"43,300.00","43,500.00","43,800.00","43,150.00",2.91M,-2.15%
4/4/2022,"44,250.00","44,950.00","44,950.00","44,250.00",2.08M,-0.23%
4/1/2022,"44,350.00","43,500.00","44,500.00","43,400.00",3.17M,1.95%
3/31/2022,"43,500.00","43,750.00","43,950.00","43,400.00",1.44M,-0.11%
3/30/2022,"43,550.00","42,100.00","45,000.00","41,700.00",3.51M,2.71%
3/29/2022,"42,400.00","41,700.00","42,500.00","41,500.00",1.73M,1.92%
3/28/2022,"41,600.00","43,000.00","43,450.00","41,450.00",3.98M,-4.26%
3/25/2022,"43,450.00","43,150.00","43,850.00","42,600.00",1.97M,0.81%
3/24/2022,"43,100.00","43,400.00","43,450.00","43,000.00",1.29M,-0.69%
3/23/2022,"43,400.00","43,450.00","44,400.00","43,150.00",2.00M,-0.23%
3/22/2022,"43,500.00","43,800.00","43,950.00","43,200.00",2.83M,-0.68%
3/21/2022,"43,800.00","43,900.00","44,100.00","43,300.00",1.28M,-0.23%
3/18/2022,"43,900.00","43,700.00","44,600.00","43,500.00",2.79M,0.92%
3/17/2022,"43,500.00","42,200.00","44,250.00","41,000.00",5.82M,4.57%
3/16/2022,"41,600.00","42,300.00","42,300.00","41,500.00",1.33M,-1.19%
3/15/2022,"42,100.00","41,300.00","42,200.00","41,000.00",1.52M,1.94%
3/14/2022,"41,300.00","41,850.00","42,200.00","41,300.00",1.34M,-1.31%
3/11/2022,"41,850.00","40,950.00","41,850.00","40,950.00",1.48M,2.20%
3/10/2022,"40,950.00","41,500.00","42,000.00","40,950.00",1.56M,1.11%
3/9/2022,"40,500.00","41,600.00","41,900.00","40,500.00",1.97M,-2.64%
3/8/2022,"41,600.00","41,800.00","42,550.00","41,400.00",2.59M,-1.54%
3/7/2022,"42,250.00","42,800.00","42,800.00","42,150.00",2.27M,-2.42%
3/4/2022,"43,300.00","42,800.00","43,500.00","42,500.00",1.66M,1.17%
3/3/2022,"42,800.00","42,350.00","43,200.00","42,000.00",2.47M,0.82%
3/2/2022,"42,450.00","43,700.00","44,000.00","42,350.00",3.09M,-3.74%
3/1/2022,"44,100.00","43,750.00","45,000.00","43,600.00",2.40M,0.92%
2/28/2022,"43,700.00","44,300.00","44,550.00","43,700.00",2.70M,-1.91%
2/25/2022,"44,550.00","44,600.00","45,600.00","44,500.00",2.35M,-0.11%
2/24/2022,"44,600.00","45,300.00","45,550.00","43,600.00",3.39M,-2.19%
2/23/2022,"45,600.00","46,500.00","46,900.00","45,500.00",2.95M,-0.87%
2/22/2022,"46,000.00","44,900.00","46,000.00","44,700.00",2.29M,1.66%
2/21/2022,"45,250.00","44,800.00","45,450.00","43,700.00",2.96M,1.23%
2/18/2022,"44,700.00","45,450.00","46,050.00","44,700.00",3.00M,-2.83%
2/17/2022,"46,000.00","45,700.00","46,000.00","44,700.00",1.79M,1.88%
2/16/2022,"45,150.00","46,100.00","46,100.00","44,700.00",2.80M,-2.27%
2/15/2022,"46,200.00","44,850.00","46,300.00","44,400.00",3.69M,3.24%
2/14/2022,"44,750.00","47,200.00","47,600.00","44,750.00",7.13M,-6.58%
2/11/2022,"47,900.00","48,200.00","48,500.00","47,800.00",1.72M,-1.03%
2/10/2022,"48,400.00","48,600.00","48,900.00","48,000.00",2.74M,0.00%
2/9/2022,"48,400.00","47,300.00","48,900.00","47,000.00",4.56M,2.22%
2/8/2022,"47,350.00","47,400.00","48,400.00","46,500.00",2.67M,-0.11%
2/7/2022,"47,400.00","48,400.00","48,600.00","47,200.00",3.48M,-1.15%
